"N_tot","real_average","real_sd","mean_ct_per_clone","sd_ct_per_clone","z_score","p","p.adjust"
2,2,0,1.936,0.244875404979683,0.261357403391778,"7.94e-01",1
3,2.63636363636364,0.674199862463242,2.826,0.381929142472619,-0.496522371685631,"6.20e-01",1
4,3.54545454545455,0.687551650952329,3.649,0.529224979643893,-0.195654888805756,"8.45e-01",1
5,3.83333333333333,0.752772652709081,4.385,0.665746361776178,-0.828643907560902,"4.07e-01",1
6,4.83333333333333,0.752772652709081,5.183,0.721131770920566,-0.484885953950271,"6.28e-01",1
7,7,NA,5.796,0.838502884364203,1.43589249655705,"1.51e-01",1
9,6.66666666666667,0.577350269189626,7.038,0.989714875878672,-0.375192232008903,"7.08e-01",1
10,6.5,0.707106781186548,7.614,1.04311652852981,-1.0679535502808,"2.86e-01",1
12,8.5,0.707106781186548,8.681,1.16387009309183,-0.155515637934446,"8.76e-01",1
