"","raw_p","padj","ttype"
"MEGLU1",1,1,"MEGLU1"
"MEGLU2",0.071464267866067,1,"MEGLU2"
"MEGLU3",0.435782108945527,1,"MEGLU3"
"MEGLU4",0.0789605197401299,1,"MEGLU4"
"MEGLU5",0.0989505247376312,1,"MEGLU5"
"MEGLU6",0.747126436781609,1,"MEGLU6"
"MEINH10",0.736631684157921,1,"MEINH10"
"MEINH11",0.387306346826587,1,"MEINH11"
"MEINH12",0.506746626686657,1,"MEINH12"
"MEINH2",1,1,"MEINH2"
"MEINH3",0.801099450274863,1,"MEINH3"
"MEINH5",0.199400299850075,1,"MEINH5"
"MEINH6",0.52023988005997,1,"MEINH6"
"MEINH7",0.792103948025987,1,"MEINH7"
"MEINH8",0.828585707146427,1,"MEINH8"
"MEINH9",1,1,"MEINH9"
